INFO:build_features:Feature types: common_stock, adr, etf, closed_end_fund
INFO:build_features:9964 tickers need features | computing 9964 this run
INFO:build_features:5850/9964 tickers | 19,855,457 feature rows | 0 skipped | 9.8 tickers/s | ETA 7.0 min
INFO:build_features:5900/9964 tickers | 20,020,789 feature rows | 0 skipped | 9.8 tickers/s | ETA 6.9 min
INFO:build_features:5950/9964 tickers | 20,247,009 feature rows | 0 skipped | 9.8 tickers/s | ETA 6.8 min
INFO:build_features:6000/9964 tickers | 20,398,596 feature rows | 0 skipped | 9.8 tickers/s | ETA 6.7 min
INFO:build_features:6050/9964 tickers | 20,546,837 feature rows | 0 skipped | 9.8 tickers/s | ETA 6.6 min
INFO:build_features:6100/9964 tickers | 20,729,739 feature rows | 0 skipped | 9.8 tickers/s | ETA 6.6 min
INFO:build_features:6150/9964 tickers | 20,909,155 feature rows | 0 skipped | 9.8 tickers/s | ETA 6.5 min
INFO:build_features:6200/9964 tickers | 21,077,889 feature rows | 0 skipped | 9.8 tickers/s | ETA 6.4 min
INFO:build_features:6250/9964 tickers | 21,248,824 feature rows | 0 skipped | 9.9 tickers/s | ETA 6.3 min
INFO:build_features:6300/9964 tickers | 21,438,009 feature rows | 0 skipped | 9.9 tickers/s | ETA 6.2 min
INFO:build_features:6350/9964 tickers | 21,578,240 feature rows | 0 skipped | 9.9 tickers/s | ETA 6.1 min
INFO:build_features:6400/9964 tickers | 21,779,607 feature rows | 0 skipped | 9.9 tickers/s | ETA 6.0 min
INFO:build_features:6450/9964 tickers | 21,909,525 feature rows | 0 skipped | 9.9 tickers/s | ETA 5.9 min
INFO:build_features:6500/9964 tickers | 22,140,808 feature rows | 0 skipped | 9.9 tickers/s | ETA 5.8 min
INFO:build_features:6550/9964 tickers | 22,277,956 feature rows | 0 skipped | 9.9 tickers/s | ETA 5.7 min
INFO:build_features:6600/9964 tickers | 22,467,948 feature rows | 0 skipped | 9.9 tickers/s | ETA 5.6 min
INFO:build_features:6650/9964 tickers | 22,636,118 feature rows | 0 skipped | 9.9 tickers/s | ETA 5.6 min
INFO:build_features:6700/9964 tickers | 22,783,639 feature rows | 0 skipped | 10.0 tickers/s | ETA 5.5 min
INFO:build_features:6750/9964 tickers | 22,927,195 feature rows | 0 skipped | 10.0 tickers/s | ETA 5.4 min
INFO:build_features:6800/9964 tickers | 23,160,828 feature rows | 0 skipped | 10.0 tickers/s | ETA 5.3 min
INFO:build_features:6850/9964 tickers | 23,376,713 feature rows | 0 skipped | 10.0 tickers/s | ETA 5.2 min
INFO:build_features:6900/9964 tickers | 23,572,529 feature rows | 0 skipped | 10.0 tickers/s | ETA 5.1 min
INFO:build_features:6950/9964 tickers | 23,681,789 feature rows | 0 skipped | 10.0 tickers/s | ETA 5.0 min
INFO:build_features:7000/9964 tickers | 23,936,066 feature rows | 0 skipped | 10.0 tickers/s | ETA 4.9 min
INFO:build_features:7050/9964 tickers | 24,105,468 feature rows | 0 skipped | 10.0 tickers/s | ETA 4.9 min
INFO:build_features:7100/9964 tickers | 24,242,952 feature rows | 0 skipped | 10.0 tickers/s | ETA 4.8 min
INFO:build_features:7150/9964 tickers | 24,404,999 feature rows | 0 skipped | 10.0 tickers/s | ETA 4.7 min
INFO:build_features:7200/9964 tickers | 24,532,294 feature rows | 0 skipped | 10.0 tickers/s | ETA 4.6 min
INFO:build_features:7250/9964 tickers | 24,645,554 feature rows | 0 skipped | 10.1 tickers/s | ETA 4.5 min
INFO:build_features:7300/9964 tickers | 24,730,754 feature rows | 0 skipped | 10.1 tickers/s | ETA 4.4 min
INFO:build_features:7350/9964 tickers | 24,847,841 feature rows | 0 skipped | 10.1 tickers/s | ETA 4.3 min
INFO:build_features:7400/9964 tickers | 25,032,197 feature rows | 0 skipped | 10.1 tickers/s | ETA 4.2 min
INFO:build_features:7450/9964 tickers | 25,204,092 feature rows | 0 skipped | 10.1 tickers/s | ETA 4.1 min
INFO:build_features:7500/9964 tickers | 25,414,194 feature rows | 0 skipped | 10.1 tickers/s | ETA 4.1 min
