INFO:universe:Snapshot saved: data/symbol_snapshots/2026-09-12_nasdaqlisted.txt
INFO:universe:Snapshot saved: data/symbol_snapshots/2026-09-12_otherlisted.txt
INFO:universe:Symbol directory: 5605 NASDAQ rows, 7609 other-listed rows.
INFO:universe:Universe: 13181 listings — etf 5672, common_stock 5376, preferred 466, warrant 439, unit 372, adr 276, closed_end_fund 273, note 165, right 129, etn 13
INFO:backfill:Top-up mode: 13,114 tickers behind the latest bar
INFO:backfill:Universe 13181 tickers | 67 done | 13114 outstanding | fetching 13114 this run | period=3mo
ERROR:yfinance:$NMCO-RT: No data found, symbol may be delisted
ERROR:yfinance:
1 Failed download:
ERROR:yfinance:['NMCO-RT']: No data found, symbol may be delisted
INFO:backfill:batch 127 | 6350/13114 tickers | 377,674 rows | 1 failed | 15.7 tickers/s | ETA 7.2 min
INFO:backfill:batch 128 | 6400/13114 tickers | 380,586 rows | 1 failed | 15.7 tickers/s | ETA 7.1 min
INFO:backfill:batch 129 | 6450/13114 tickers | 383,509 rows | 1 failed | 15.8 tickers/s | ETA 7.0 min
INFO:backfill:batch 130 | 6500/13114 tickers | 386,528 rows | 1 failed | 15.8 tickers/s | ETA 7.0 min
INFO:backfill:batch 131 | 6550/13114 tickers | 389,456 rows | 1 failed | 15.8 tickers/s | ETA 6.9 min
INFO:backfill:batch 132 | 6600/13114 tickers | 392,344 rows | 1 failed | 15.8 tickers/s | ETA 6.9 min
INFO:backfill:batch 133 | 6650/13114 tickers | 395,420 rows | 1 failed | 15.8 tickers/s | ETA 6.8 min
WARNING:storage:KRSP-WT: rejected 1 rows with impossible prices (negative or high<low)
INFO:backfill:batch 134 | 6700/13114 tickers | 398,268 rows | 1 failed | 15.8 tickers/s | ETA 6.8 min
INFO:backfill:batch 135 | 6750/13114 tickers | 401,165 rows | 1 failed | 15.8 tickers/s | ETA 6.7 min
INFO:backfill:batch 136 | 6800/13114 tickers | 404,114 rows | 1 failed | 15.8 tickers/s | ETA 6.7 min
INFO:backfill:batch 137 | 6850/13114 tickers | 407,073 rows | 1 failed | 15.8 tickers/s | ETA 6.6 min
INFO:backfill:batch 138 | 6900/13114 tickers | 410,142 rows | 1 failed | 15.8 tickers/s | ETA 6.6 min
INFO:backfill:batch 139 | 6950/13114 tickers | 413,098 rows | 1 failed | 15.8 tickers/s | ETA 6.5 min
INFO:backfill:batch 140 | 7000/13114 tickers | 416,062 rows | 1 failed | 15.7 tickers/s | ETA 6.5 min
INFO:backfill:batch 141 | 7050/13114 tickers | 418,923 rows | 1 failed | 15.8 tickers/s | ETA 6.4 min
INFO:backfill:batch 142 | 7100/13114 tickers | 421,847 rows | 1 failed | 15.8 tickers/s | ETA 6.4 min
INFO:backfill:batch 143 | 7150/13114 tickers | 424,621 rows | 1 failed | 15.7 tickers/s | ETA 6.3 min
INFO:backfill:batch 144 | 7200/13114 tickers | 427,768 rows | 1 failed | 15.7 tickers/s | ETA 6.3 min
INFO:backfill:batch 145 | 7250/13114 tickers | 430,716 rows | 1 failed | 15.7 tickers/s | ETA 6.2 min
INFO:backfill:batch 146 | 7300/13114 tickers | 433,742 rows | 1 failed | 15.7 tickers/s | ETA 6.2 min
INFO:backfill:batch 147 | 7350/13114 tickers | 436,615 rows | 1 failed | 15.7 tickers/s | ETA 6.1 min
INFO:backfill:batch 148 | 7400/13114 tickers | 439,692 rows | 1 failed | 15.7 tickers/s | ETA 6.0 min
INFO:backfill:batch 149 | 7450/13114 tickers | 442,694 rows | 1 failed | 15.8 tickers/s | ETA 6.0 min
INFO:backfill:batch 150 | 7500/13114 tickers | 445,596 rows | 1 failed | 15.8 tickers/s | ETA 5.9 min
INFO:backfill:batch 151 | 7550/13114 tickers | 448,563 rows | 1 failed | 15.7 tickers/s | ETA 5.9 min
INFO:backfill:batch 152 | 7600/13114 tickers | 451,388 rows | 1 failed | 15.8 tickers/s | ETA 5.8 min
INFO:backfill:batch 153 | 7650/13114 tickers | 454,312 rows | 1 failed | 15.8 tickers/s | ETA 5.8 min
INFO:backfill:batch 154 | 7700/13114 tickers | 457,254 rows | 1 failed | 15.8 tickers/s | ETA 5.7 min
INFO:backfill:batch 155 | 7750/13114 tickers | 460,091 rows | 1 failed | 15.8 tickers/s | ETA 5.7 min
INFO:backfill:batch 156 | 7800/13114 tickers | 462,968 rows | 1 failed | 15.8 tickers/s | ETA 5.6 min
WARNING:storage:MZYX-WT: rejected 1 rows with impossible prices (negative or high<low)
INFO:backfill:batch 157 | 7850/13114 tickers | 465,931 rows | 1 failed | 15.8 tickers/s | ETA 5.6 min
INFO:backfill:batch 158 | 7900/13114 tickers | 468,999 rows | 1 failed | 15.8 tickers/s | ETA 5.5 min
INFO:backfill:batch 159 | 7950/13114 tickers | 471,682 rows | 1 failed | 15.8 tickers/s | ETA 5.5 min
INFO:backfill:batch 160 | 8000/13114 tickers | 474,645 rows | 1 failed | 15.8 tickers/s | ETA 5.4 min
INFO:backfill:batch 161 | 8050/13114 tickers | 477,594 rows | 1 failed | 15.8 tickers/s | ETA 5.3 min
INFO:backfill:batch 162 | 8100/13114 tickers | 480,620 rows | 1 failed | 15.8 tickers/s | ETA 5.3 min
INFO:backfill:batch 163 | 8150/13114 tickers | 483,564 rows | 1 failed | 15.8 tickers/s | ETA 5.2 min
