WARNING:build_features:--rebuild: cleared 33,837,110 existing feature rows
INFO:build_features:Feature types: common_stock, adr, etf, closed_end_fund
INFO:build_features:9975 tickers need features | computing 9975 this run
INFO:build_features:4650/9975 tickers | 15,820,201 feature rows | 0 skipped | 20.3 tickers/s | ETA 4.4 min
INFO:build_features:4700/9975 tickers | 15,960,432 feature rows | 0 skipped | 20.3 tickers/s | ETA 4.3 min
INFO:build_features:4750/9975 tickers | 16,122,132 feature rows | 0 skipped | 20.3 tickers/s | ETA 4.3 min
INFO:build_features:4800/9975 tickers | 16,361,172 feature rows | 0 skipped | 20.2 tickers/s | ETA 4.3 min
INFO:build_features:4850/9975 tickers | 16,515,501 feature rows | 0 skipped | 20.2 tickers/s | ETA 4.2 min
INFO:build_features:4900/9975 tickers | 16,619,997 feature rows | 0 skipped | 20.3 tickers/s | ETA 4.2 min
INFO:build_features:4950/9975 tickers | 16,795,224 feature rows | 0 skipped | 20.3 tickers/s | ETA 4.1 min
INFO:build_features:5000/9975 tickers | 16,889,181 feature rows | 0 skipped | 20.4 tickers/s | ETA 4.1 min
INFO:build_features:5050/9975 tickers | 17,058,831 feature rows | 0 skipped | 20.4 tickers/s | ETA 4.0 min
INFO:build_features:5100/9975 tickers | 17,240,721 feature rows | 0 skipped | 20.3 tickers/s | ETA 4.0 min
INFO:build_features:5150/9975 tickers | 17,418,399 feature rows | 0 skipped | 20.3 tickers/s | ETA 4.0 min
INFO:build_features:5200/9975 tickers | 17,580,651 feature rows | 0 skipped | 20.3 tickers/s | ETA 3.9 min
INFO:build_features:5250/9975 tickers | 17,721,716 feature rows | 0 skipped | 20.4 tickers/s | ETA 3.9 min
INFO:build_features:5300/9975 tickers | 17,869,188 feature rows | 0 skipped | 20.4 tickers/s | ETA 3.8 min
INFO:build_features:5350/9975 tickers | 18,019,312 feature rows | 0 skipped | 20.4 tickers/s | ETA 3.8 min
INFO:build_features:5400/9975 tickers | 18,186,785 feature rows | 0 skipped | 20.4 tickers/s | ETA 3.7 min
INFO:build_features:5450/9975 tickers | 18,351,262 feature rows | 0 skipped | 20.4 tickers/s | ETA 3.7 min
INFO:build_features:5500/9975 tickers | 18,544,208 feature rows | 0 skipped | 20.4 tickers/s | ETA 3.7 min
INFO:build_features:5550/9975 tickers | 18,689,772 feature rows | 0 skipped | 20.4 tickers/s | ETA 3.6 min
INFO:build_features:5600/9975 tickers | 18,872,538 feature rows | 0 skipped | 20.4 tickers/s | ETA 3.6 min
INFO:build_features:5650/9975 tickers | 19,034,475 feature rows | 0 skipped | 20.4 tickers/s | ETA 3.5 min
INFO:build_features:5700/9975 tickers | 19,235,354 feature rows | 0 skipped | 20.3 tickers/s | ETA 3.5 min
INFO:build_features:5750/9975 tickers | 19,429,509 feature rows | 0 skipped | 20.3 tickers/s | ETA 3.5 min
INFO:build_features:5800/9975 tickers | 19,631,168 feature rows | 0 skipped | 20.3 tickers/s | ETA 3.4 min
INFO:build_features:5850/9975 tickers | 19,829,877 feature rows | 0 skipped | 20.3 tickers/s | ETA 3.4 min
INFO:build_features:5900/9975 tickers | 20,011,149 feature rows | 0 skipped | 20.3 tickers/s | ETA 3.4 min
INFO:build_features:5950/9975 tickers | 20,244,041 feature rows | 0 skipped | 20.2 tickers/s | ETA 3.3 min
INFO:build_features:6000/9975 tickers | 20,382,498 feature rows | 0 skipped | 20.2 tickers/s | ETA 3.3 min
